epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,40682.4,0.75083,1.32001,0.96646,0.46155,0.45482,0.42166,0.35845,0.66666,1.81677,0.95337,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,41397.5,0.75281,1.32145,0.96729,0.48649,0.44114,0.42491,0.36185,0.66607,1.81895,0.95307,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,42114.1,0.74018,1.2816,0.9614,0.49367,0.44001,0.42666,0.36288,0.66584,1.82142,0.95288,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,42820.7,0.73967,1.26457,0.96034,0.49231,0.43966,0.42831,0.36482,0.66533,1.82471,0.95265,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,43537.2,0.73006,1.22575,0.95724,0.49692,0.43703,0.42938,0.36605,0.6653,1.82738,0.95285,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,44253.3,0.73089,1.22065,0.95516,0.50193,0.43538,0.43163,0.3664,0.66534,1.83254,0.95307,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,44966.2,0.72464,1.19845,0.95401,0.49381,0.44068,0.43266,0.36806,0.66535,1.83785,0.95318,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,45685.7,0.7165,1.17929,0.9517,0.50135,0.43765,0.43396,0.36955,0.66535,1.84365,0.95323,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,46399,0.70946,1.15702,0.9488,0.50385,0.43622,0.43461,0.36923,0.66518,1.84922,0.95304,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,47113.8,0.70946,1.15178,0.94673,0.50305,0.43054,0.43381,0.36902,0.66547,1.8563,0.95331,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,47826.5,0.70123,1.11081,0.94278,0.50083,0.43123,0.43403,0.36968,0.66531,1.8634,0.95313,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,48538.2,0.69948,1.10434,0.94362,0.50392,0.43125,0.43646,0.37151,0.66538,1.86999,0.95337,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,49253.2,0.6958,1.08653,0.93867,0.50554,0.43522,0.44119,0.37624,0.66537,1.87694,0.95351,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,49963.7,0.69712,1.08118,0.94143,0.50764,0.43678,0.43983,0.37617,0.66597,1.88557,0.95403,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,50682.6,0.69254,1.04807,0.94003,0.49984,0.4429,0.44283,0.37801,0.6662,1.89393,0.95431,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
